116HG	Prader-Willi Syndrome
AC131097.3	Narcolepsy
AC133109.1	Alzheimer's Disease
AC133865.1	Amyotrophic Lateral Sclerosis
AC136007.2	Alzheimer's Disease
AC139795.3	Alzheimer's Disease
AC141586.1	Alzheimer's Disease
AC207130.1	Restless legs Syndrome
AC233982.1	Amyotrophic Lateral Sclerosis
AC243964.3	Alzheimer's Disease
ACE	Alzheimer's Disease, Stroke
ACER3	Alzheimer's Disease
ACKR3	Glioma
ACMSD	Alzheimer's Disease, Parkinson's Disease
ACOT2	Alzheimer's Disease
ACP2	Autism Spectrum Disorder
ACP5	Multiple Sclerosis
ACSL1	Neuroblastoma
ACSL4	Intellectual Disability
ACSL5	Amyotrophic Lateral Sclerosis
ACSL6	Alzheimer's Disease
ACSS2	Glioma
ACTA1	Muscular Dystrophy
ACTA2	Cerebral Aneurysm, Stroke
ACTB	Dystonia
ACTC1	Alzheimer's Disease
ACTL7A	Dysautonomia
ACTL7B	Dysautonomia
ACTN1	Muscular Dystrophy
ACTR1A	Autism Spectrum Disorder
ACTR5	Autism Spectrum Disorder
ACVR1	Glioma
ADAM10	Alzheimer's Disease
ADAM22	Autism Spectrum Disorder
ADAM29	Glioma
ADAM2	Restless legs Syndrome
ADAM8	Alzheimer's Disease
ADAMTS12	Stroke
ADAMTS16	Parkinson's Disease
ADAMTS1	Alzheimer's Disease
ADAMTS20	Alzheimer's Disease, Parkinson's Disease
ADAMTS2	Alzheimer's Disease, Stroke
ADAMTS4	Alzheimer's Disease
ADAMTS7	Autism Spectrum Disorder
ADAMTS9	Alzheimer's Disease
ADAMTS9-AS2	Glioma
ADAMTSL3	Autism Spectrum Disorder
ADARB2	Alzheimer's Disease
ADARB2-AS1	Alzheimer's Disease
ADCK5	Autism Spectrum Disorder
ADCY3	Multiple Sclerosis
ADCY9	Alzheimer's Disease
ADD1	Huntington's Disease
ADDA	Huntington's Disease
ADGRA2	Alzheimer's Disease, Glioma
ADGRB3	Autism Spectrum Disorder
ADGRE3	Alzheimer's Disease
ADGRE5	Multiple Sclerosis
ADGRF2	Alzheimer's Disease
ADGRG1	Epilepsy
ADGRG4	Neuroblastoma
ADGRL4	Autism Spectrum Disorder, Glioma
ADGRV1	Epilepsy, Glioma
ADNP	Intellectual Disability
ADORA1	Alzheimer's Disease
ADPGK-AS1	Epilepsy
ADRA1D	Autism Spectrum Disorder
ADSL	Epilepsy, Glioma
ADSS2	Glioma
ADTRP	Autism Spectrum Disorder
AF086127	Glioma
AF086217	Glioma
AF086391	Glioma
AF096876.1	Stroke
AF119852	Glioma
AF165147.1	Alzheimer's Disease
AF207955.1	Alzheimer's Disease
AFF1	Alzheimer's Disease, Multiple Sclerosis
AFF2	Intellectual Disability
AGAP1	Alzheimer's Disease, Autism Spectrum Disorder, Parkinson's Disease
AGAP2-AS1	Glioma
AGAP2	Multiple Sclerosis
AGBL1	Alzheimer's Disease
AGBL2	Multiple Sclerosis
AGER	Alzheimer's Disease, Autism Spectrum Disorder, Glioma
AGFG2	Alzheimer's Disease
AGPAT1	Autism Spectrum Disorder
AGRN	Alzheimer's Disease
AHCYL1	Alzheimer's Disease
AHI1	Multiple Sclerosis
AHNAK	Alzheimer's Disease
AHSA1	Down Syndrome
AICDA	Alzheimer's Disease
AIF1	Alzheimer's Disease, Autism Spectrum Disorder
AIMP2	Parkinson's Disease
AK021535	Glioma
AK021630	Parkinson's Disease
AK022370	Glioma
AK056155	Glioma
AK098425	Glioma
AK127238	Multiple Sclerosis
AK128216	Alzheimer's Disease
AKAP12	Alzheimer's Disease
AKAP13	Multiple Sclerosis
AKAP6	Glioma
AKAP7	Alzheimer's Disease
AKAP8L	Huntington's Disease
AKT1	Epilepsy, Tuberous Sclerosis
AKT3	Epilepsy, Glioma
AL022724.3	Autism Spectrum Disorder
AL023754.1	Amyotrophic Lateral Sclerosis
AL031668.2	Alzheimer's Disease
AL032822.1	Autism Spectrum Disorder
AL034346.1	Stroke
AL049437	Parkinson's Disease
AL050068	Glioma
AL050338.1	Alzheimer's Disease
AL096799.1	Alzheimer's Disease
AL096816.1	Alzheimer's Disease
AL109954.2	Alzheimer's Disease
AL117332.1	Autism Spectrum Disorder
AL121612.1	Alzheimer's Disease
AL121988.1	Alzheimer's Disease
AL133270.1	Autism Spectrum Disorder
AL133334.1	Stroke
AL133355.1	Stroke
AL136140.2	Stroke
AL136456.1	Alzheimer's Disease, Autism Spectrum Disorder
AL137058.1	Alzheimer's Disease
AL138720.1	Multiple Sclerosis
AL139003.1	Stroke
AL139093.1	Autism Spectrum Disorder
AL139350.1	Autism Spectrum Disorder
AL161912.1	Amyotrophic Lateral Sclerosis
AL162253.2	Alzheimer's Disease
AL163541.1	Autism Spectrum Disorder
AL353093.1	Alzheimer's Disease
