116HG	Prader-Willi Syndrome
ELOVL7	Autism Spectrum Disorder, Parkinson's Disease
ELP1	Dysautonomia
ELP3	Dysautonomia
ELP4	Dysautonomia
EMD	Muscular Dystrophy
EMP1	Glioma
EN1	Multiple Sclerosis
EN2	Autism Spectrum Disorder
ENKUR	Alzheimer's Disease
ENO1	Autism Spectrum Disorder, Glioma
ENO2	Glioma
ENST01108	Glioma
ENTHD1	Multiple Sclerosis
ENTPD1-AS1	Glioma
EOMES	Agenesis Corpus Callosum, Multiple Sclerosis
EP300-AS1	Autism Spectrum Disorder
EP300	Autism Spectrum Disorder
EP400	Alzheimer's Disease
EPB41L3	Glioma
EPB41L4B	Dysautonomia
EPC2	Alzheimer's Disease
EPHA1	Alzheimer's Disease
EPHA2	Glioma
EPHA3	Glioma
EPHB1	Epilepsy
EPHX1	Alzheimer's Disease
EPHX2	Alzheimer's Disease, Autism Spectrum Disorder
EPM2A	Epilepsy
EPM2AIP1	Autism Spectrum Disorder, Epilepsy
EPN1	Alzheimer's Disease
EPO	Glioma
EPOP	Alzheimer's Disease
EPPK1	Glioma, Multiple Sclerosis
EPS15	Autism Spectrum Disorder
EPS15L1	Multiple Sclerosis
EPS8L2	Alzheimer's Disease
ERBB2	Glioma
ERBB4	Alzheimer's Disease
ERCC6	Cerebro-Oculo-Facio-Skeletal Syndrome
ERCC6L2	Parkinson's Disease
ERCC8	Autism Spectrum Disorder
ERG	Multiple Sclerosis
ERLIN2	Intellectual Disability
ERN1	Glioma
ERVW-1	Multiple Sclerosis
ERVW-2	Multiple Sclerosis
ESAM	Autism Spectrum Disorder
ESPN	Multiple Sclerosis
ESRP1	Alzheimer's Disease
ESRRB	Autism Spectrum Disorder
ESRRG	Intracranial Aneurysm
ETF1	Autism Spectrum Disorder
ETFA	Glioma
ETS1	Alzheimer's Disease, Multiple Sclerosis
ETV3L	Multiple Sclerosis
ETV7	Multiple Sclerosis
EVI5	Multiple Sclerosis
EVS	Glioma
EXOC2	Multiple Sclerosis
EXOC3L2	Alzheimer's Disease
EXOC4	Alzheimer's Disease
EXOSC3	Intellectual Disability, Pontocerebellar Hypoplasia
EXT1	Autism Spectrum Disorder
EXTL2	Multiple Sclerosis
EYA1	Autism Spectrum Disorder
EYA4	Alzheimer's Disease
EZH1	Autism Spectrum Disorder
EZH2	Glioma
F10	Glioma
F11R	Glioma
F13A1	Alzheimer's Disease
F2	Alzheimer's Disease, Autism Spectrum Disorder, Stroke
F2R	Alzheimer's Disease
F2RL1	Alzheimer's Disease
F5	Stroke
F7	Alzheimer's Disease
FA2H	Dystonia
FABP7	Glioma
FAM118A	Alzheimer's Disease
FAM120AOS	Glioma
FAM126A	Parkinson's Disease
FAM13B	Autism Spectrum Disorder
FAM155A	Autism Spectrum Disorder
FAM163A	Alzheimer's Disease
FAM167A-AS1	Multiple Sclerosis
FAM167A	Multiple Sclerosis
FAM167B	Multiple Sclerosis
FAM171A1	Parkinson's Disease
FAM171A2	Parkinson's Disease
FAM172BP	Alzheimer's Disease
FAM178B	Alzheimer's Disease
FAM181A	Alzheimer's Disease
FAM181A-AS1	Alzheimer's Disease
FAM184A	Parkinson's Disease
FAM189A2	Friedreich Ataxia
FAM189B	Gaucher Disease
FAM193A	Huntington's Disease
FAM200B	Parkinson's Disease
FAM207A	Alzheimer's Disease
FAM20C	Alzheimer's Disease
FAM221B	Multiple Sclerosis
FAM241A	Multiple Sclerosis
FAM24B	Alzheimer's Disease
FAM47E	Parkinson's Disease
FAM47E-STBD1	Parkinson's Disease
FAM53B	Alzheimer's Disease
FAM53C	Autism Spectrum Disorder
FAM71B	Multiple Sclerosis
FAM76B	Multiple Sclerosis
FANCB	Hydrocephalus
FANCD2	Alzheimer's Disease
FANCD2OS	Alzheimer's Disease
FANCL	Autism Spectrum Disorder, Epilepsy
FARP1	Alzheimer's Disease
FARP2	Alzheimer's Disease
FAS-AS1	Ataxia Telangiectasia
FAS	Glioma
FAT1	Alzheimer's Disease, Glioma
FAT2	Glioma
FBLN1	Glioma
FBN1	Cerebral Aneurysm
FBRSL1	Parkinson's Disease
FBXL13	Alzheimer's Disease
FBXL6	Autism Spectrum Disorder
FBXL7	Alzheimer's Disease
FBXO16	Alzheimer's Disease
FBXO31	Intellectual Disability
FBXO40	Alzheimer's Disease
FBXO45	Multiple Sclerosis
FBXO48	Multiple Sclerosis
FBXO7	Parkinson's Disease
FBXO9	Cerebral Palsy
FBXW7	Glioma
FCGR2A	Parkinson's Disease
FCRL1	Multiple Sclerosis
FCRL3	Multiple Sclerosis
FDFT1	Parkinson's Disease
FENDRR	Autism Spectrum Disorder
FERMT2	Alzheimer's Disease
FES	Autism Spectrum Disorder
FGA	Stroke
FGB	Stroke
FGD4	Charcot-Marie-Tooth Disease, Parkinson's Disease
FGD6	Intracranial Aneurysm
FGF10	Alzheimer's Disease, Parkinson's Disease
FGF12	Autism Spectrum Disorder
FGF14	Autism Spectrum Disorder
FGF17	Alzheimer's Disease
FGF20	Parkinson's Disease
FGFR1	Agenesis Corpus Callosum, Autism Spectrum Disorder, Glioma
FGFR3	Chiari Malformation, Huntington's Disease, Hydrocephalus
FGFR	Glioma
FHDC1	Amyotrophic Lateral Sclerosis
FHIT	Autism Spectrum Disorder, Intracranial Aneurysm
FHL1	Muscular Dystrophy
FHL5	Intracranial Aneurysm
FIG4	Charcot-Marie-Tooth Disease, Epilepsy
FKBP10	Alzheimer's Disease
FKBPL	Autism Spectrum Disorder
FKRP	Hydrocephalus, Muscular Dystrophy
FKTN	Hydrocephalus, Muscular Dystrophy
FLJ22536	Neuroblastoma
FLJ34870	Multiple Sclerosis
FLJ35379	Parkinson's Disease
FLJ38122	Multiple Sclerosis
FLJ44180	Neuroblastoma
FLJ45256	Alzheimer's Disease
FLJ45964	Intracranial Aneurysm
FLNA	Epilepsy
FLNC	Muscular Dystrophy
FLOT1	Autism Spectrum Disorder
FMC1	Alzheimer's Disease
FMC1-LUC7L2	Alzheimer's Disease
FMN2	Alzheimer's Disease
FMNL2	Autism Spectrum Disorder
FMO4	Intracranial Aneurysm
FMOD	Glioma
FMR1-AS1	Fragile X Syndrome, Neurological Disorder
FMR5	Fragile X Syndrome
FMR6	Fragile X Syndrome
FN3K	Alzheimer's Disease
FNDC1	Multiple Sclerosis
FNDC3B	Parkinson's Disease
FNIP1	Alzheimer's Disease
FNTAP1	Alzheimer's Disease
FOLH1B	Amyotrophic Lateral Sclerosis
FOXA1	Glioma
FOXC2	Glioma
FOXD3-AS1	Glioma
FOXE1	Alzheimer's Disease
FOXG1-AS1	Autism Spectrum Disorder
FOXG1	Epilepsy, Multiple Sclerosis, Rett Syndrome
FOXK1	Alzheimer's Disease
FOXM1-AS1	Glioma
FOXM1-AS	Glioma
FOXM1	Glioma
FOXN2	Alzheimer's Disease, Autism Spectrum Disorder
FOXN3	Alzheimer's Disease
FOXO4	Dystonia
FOXO	Glioma
FOXP1	Autism Spectrum Disorder, Intellectual Disability, Multiple Sclerosis
FOXP2	Dyslexia, Dyspraxia
FOXP3	Glioma
FP325330.2	Alzheimer's Disease
FPR2	Multiple Sclerosis
FPR3	Multiple Sclerosis
FRMD4A	Alzheimer's Disease, Autism Spectrum Disorder
FRMD4B	Alzheimer's Disease
FRMD6	Multiple Sclerosis
FRRS1L	Dysautonomia
FRZB	Autism Spectrum Disorder
FST	Alzheimer's Disease
FTCDNL1	Autism Spectrum Disorder
FTH1	Glioma
FTL	Cerebral Aneurysm, Glioma
FTO	Glioma
FTSJ1	Intellectual Disability
FTX	Autism Spectrum Disorder, Glioma
FUBP1	Glioma
FUCA2	Multiple Sclerosis
FURIN	Autism Spectrum Disorder, Stroke
FUT8	Multiple Sclerosis
FUT9	Autism Spectrum Disorder
FXN	Alzheimer's Disease, Friedreich Ataxia
FYN	Glioma, Parkinson's Disease
FZD6	Alzheimer's Disease
G34	Glioma
G3BP1	Alzheimer's Disease
GAA	Muscular Dystrophy
GAB2	Alzheimer's Disease
GABBR1	Autism Spectrum Disorder, Epilepsy
GABRA1	Epilepsy, Generalized Epilepsy with Febrile Seizures Plus
GABRA2	Alzheimer's Disease, Epilepsy
GABRA-3	Anxiety Disorder
GABRA3	Rett Syndrome
GABRA5	Prader-Willi Syndrome
GABRB1	Epilepsy
GABRB3	Autism Spectrum Disorder, Epilepsy, Generalized Epilepsy with Febrile Seizures Plus
GABRD	Epilepsy, Generalized Epilepsy with Febrile Seizures Plus
GABRG2	Epilepsy, Generalized Epilepsy with Febrile Seizures Plus
GABRG3	Alzheimer's Disease
GAD1	Cerebral Palsy, Epilepsy
GADD45G	Pituitary Adenoma, Pituitary Neoplasms
GAK	Parkinson's Disease
GALC	Multiple Sclerosis, Parkinson's Disease
GALK2	Alzheimer's Disease
GALNT10	Autism Spectrum Disorder
GALNT18	Stroke
GALNT1	Autism Spectrum Disorder
GAP43	Glioma, Neuroblastoma
GAPDHP15	Alzheimer's Disease
GAPLINC	Glioma
GARS1	Charcot-Marie-Tooth Disease
GAS5	Glioma
GAS6	Stroke
GATA3	Glioma, Intracranial Aneurysm, Multiple Sclerosis
GATA6	Glioma
GATD1	Parkinson's Disease
GATD3A	Alzheimer's Disease
GBA3	Gaucher Disease
GBA	Dysautonomia, Gaucher Disease, Intracranial Aneurysm, Parkinson's Disease
GBAP1	Parkinson's Disease
GBF1	Parkinson's Disease
GBM128	Glioma
GBM131	Glioma
GCDH	Dystonia
GCFC2	Dyslexia
GCH1	Dystonia, Parkinson's Disease
G-CIMP	Glioma
GCN1	Alzheimer's Disease
GCNA	Dystonia
GDAP1	Charcot-Marie-Tooth Disease
GDI1	Intellectual Disability
GDNF-AS1	Alzheimer's Disease
GDPD3	Autism Spectrum Disorder
GEC	Neuroblastoma
GEMIN7	Alzheimer's Disease
GEMIN7-AS1	Alzheimer's Disease
GFAP	Glioma
GFI1B	Glioma
GFI1	Glioma, Multiple Sclerosis
GFOD2	Autism Spectrum Disorder
GFPT2	Parkinson's Disease
GFRA1	Epilepsy
GFRA3	Autism Spectrum Disorder
GGACT	Alzheimer's Disease
GGN	Alzheimer's Disease
GGNBP1	Autism Spectrum Disorder, Multiple Sclerosis
GGT2	Glioma
GGT3P	Epilepsy
GGT5	Amyotrophic Lateral Sclerosis
GHRL	Autism Spectrum Disorder
GHRLOS	Autism Spectrum Disorder
GIGYF2	Autism Spectrum Disorder, Parkinson's Disease
GIMAP6	Multiple Sclerosis
GJA3	Alzheimer's Disease
GJB1	Charcot-Marie-Tooth Disease
GJB3	Alzheimer's Disease
GJB5	Narcolepsy
GLB1	Dystonia
GLEA2	Glioma
GLI2	Glioma
GLIDR	Glioma
GLIPR1	Glioma
GLIS3	Alzheimer's Disease
GLO1	Restless legs Syndrome
GLRA2	Rett Syndrome
GLT1D1	Autism Spectrum Disorder
GLT8D1	Autism Spectrum Disorder
GLU	Parkinson's Disease
GLYAT	Alzheimer's Disease
GLYCTK-AS1	Autism Spectrum Disorder
GLYCTK	Autism Spectrum Disorder
GM2AP1	Parkinson's Disease
GM2A	Tay-Sachs Disease
GMDS	Alzheimer's Disease
GMNC	Alzheimer's Disease
GMPS	Glioma
GNAO1	Epilepsy
GNG7	Alzheimer's Disease
GNL1	Autism Spectrum Disorder
GNL3	Autism Spectrum Disorder
GNL3L	Autism Spectrum Disorder
GOLGA2P7	Autism Spectrum Disorder
GOLGA3	Autism Spectrum Disorder, Glioma
GOLGA4	Autism Spectrum Disorder
GOLGA6L4	Autism Spectrum Disorder
GOLGA6L5P	Autism Spectrum Disorder
GOLGA8EP	Prader-Willi Syndrome
GOLGA8F	Prader-Willi Syndrome
GOLIM4	Epilepsy
GOLM1	Alzheimer's Disease
GP1BB	Alzheimer's Disease
GPA33	Alzheimer's Disease
GPANK1	Autism Spectrum Disorder
GPC3	Glioma
GPC5	Multiple Sclerosis
GPC6	Alzheimer's Disease
GPCPD1	Autism Spectrum Disorder
GPD1	Glioma
GPM6A	Autism Spectrum Disorder
GPM6B	Rett Syndrome
GPNMB	Parkinson's Disease
GPR161	Glioma
GPR19	Parkinson's Disease
GPR32	Parkinson's Disease
GPR37	Parkinson's Disease
GPR65	Multiple Sclerosis, Parkinson's Disease
GPR87	Alzheimer's Disease
GPRIN3	Parkinson's Disease
GPSM3	Alzheimer's Disease, Autism Spectrum Disorder
GPT2	Intellectual Disability
GPT	Alzheimer's Disease
GPX5	Alzheimer's Disease, Autism Spectrum Disorder
GPX6	Alzheimer's Disease, Autism Spectrum Disorder
GRAMD1B	Autism Spectrum Disorder
GRAMD2B	Alzheimer's Disease
GRB2	Multiple Sclerosis
GRIA1	Autism Spectrum Disorder
GRIA2	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, Forebrain Ischemia, Huntington's Disease, Neuroblastoma, Neurodegenerative Disease
GRIA3	Intellectual Disability, Rett Syndrome
GRID1	Alzheimer's Disease
GRIK1-AS2	Down Syndrome
GRIK1	Autism Spectrum Disorder, Epilepsy
GRIK2	Autism Spectrum Disorder, Epilepsy, Intellectual Disability
GRIN1	Epilepsy
GRIN2A	Autism Spectrum Disorder, Epilepsy
GRIN2B	Alzheimer's Disease, Epilepsy
GRIN3A	Alzheimer's Disease
GRIN3B	Alzheimer's Disease
GRM3	Autism Spectrum Disorder
GRM7	Autism Spectrum Disorder
GRN	Motor Neurone Disease
GRTP1	Alzheimer's Disease
GS1-124K5.11	Parkinson's Disease
GSC	Glioma
GSTA4	Epilepsy
GSTP1	Neuroblastoma
GTDC1	Multiple Sclerosis
GTF2H4	Autism Spectrum Disorder
GTF2I	Glioma
GTF2IP11	Alzheimer's Disease
GTSCR1	Stroke, Tourette Syndrome, Tourette Syndrome
GUCY1A2	Autism Spectrum Disorder
GUCY2D	Alzheimer's Disease
GULOP	Alzheimer's Disease
GUSBP2	Autism Spectrum Disorder
GXYLT1	Parkinson's Disease
H1-1	Autism Spectrum Disorder
H1-2	Autism Spectrum Disorder
H1-3	Autism Spectrum Disorder
H1-4	Autism Spectrum Disorder
H1-5	Autism Spectrum Disorder
H1-6	Autism Spectrum Disorder
H19	Glioma, Meningioma, Neuroblastoma, Parkinson's Disease, Pituitary Adenoma, Pituitary Neoplasms, Prader-Willi Syndrome
H2AC11	Autism Spectrum Disorder
H2AC12	Autism Spectrum Disorder
H2AC13	Autism Spectrum Disorder
H2AC14	Autism Spectrum Disorder
H2AC15	Autism Spectrum Disorder
H2AC16	Autism Spectrum Disorder
H2AC17	Autism Spectrum Disorder
H2AC1	Autism Spectrum Disorder
H2AC2P	Autism Spectrum Disorder
H2AC4	Autism Spectrum Disorder
H2AC6	Autism Spectrum Disorder, Narcolepsy
H2AC7	Autism Spectrum Disorder
H2AC8	Autism Spectrum Disorder
H2BC10	Autism Spectrum Disorder
H2BC11	Autism Spectrum Disorder
H2BC12	Autism Spectrum Disorder
H2BC13	Autism Spectrum Disorder, Parkinson's Disease
H2BC14	Autism Spectrum Disorder
H2BC15	Autism Spectrum Disorder
H2BC17	Autism Spectrum Disorder
H2BC1	Autism Spectrum Disorder
H2BC3	Autism Spectrum Disorder
H2BC4	Autism Spectrum Disorder
H2BC5	Autism Spectrum Disorder
H2BC6	Autism Spectrum Disorder
H2BC7	Autism Spectrum Disorder
H2BC8	Autism Spectrum Disorder
H2BC9	Autism Spectrum Disorder
H3-3A	Glioma
H3-3B	Glioma
H3C10	Autism Spectrum Disorder
H3C11	Autism Spectrum Disorder
H3C12	Autism Spectrum Disorder
H3C1	Autism Spectrum Disorder
H3C2	Autism Spectrum Disorder, Glioma
H3C3	Autism Spectrum Disorder, Glioma
H3C4	Autism Spectrum Disorder
H3C6	Autism Spectrum Disorder
H3C7	Autism Spectrum Disorder
H3C8	Autism Spectrum Disorder
H3K9	Glioma
H3P11	Restless legs Syndrome
H4C11	Autism Spectrum Disorder
H4C12	Autism Spectrum Disorder
H4C13	Autism Spectrum Disorder
H4C1	Autism Spectrum Disorder
H4C2	Autism Spectrum Disorder
H4C3	Autism Spectrum Disorder
H4C4	Autism Spectrum Disorder
H4C5	Autism Spectrum Disorder
H4C6	Autism Spectrum Disorder
H4C7	Autism Spectrum Disorder
H4C8	Autism Spectrum Disorder
H4C9	Autism Spectrum Disorder
H6PD	Alzheimer's Disease
HACE1	Epilepsy, Multiple Sclerosis, Neuroblastoma
HACL1	Alzheimer's Disease
HAGLR	Neuroblastoma
HAND2-AS1	Neuroblastoma
HAP1	Huntington's Disease
HAR1A	Alzheimer's Disease, Huntington's Disease
HAR1B	Alzheimer's Disease, Glioma, Huntington's Disease
HAR1	Huntington's Disease
HARBI1	Autism Spectrum Disorder
HAS2-AS1	Alzheimer's Disease
has-mir-10b	Glioma
has-mir-589??p	Glioma
HAVCR2	Glioma
HBEGF	Alzheimer's Disease
HBS1L	Multiple Sclerosis
HCCS	Agenesis Corpus Callosum, Rett Syndrome
HCG11	Autism Spectrum Disorder
HCG14	Autism Spectrum Disorder
HCG17	Autism Spectrum Disorder
HCG18	Autism Spectrum Disorder
HCG22	Autism Spectrum Disorder
HCG23	Autism Spectrum Disorder
HCG25	Autism Spectrum Disorder
HCG26	Autism Spectrum Disorder
HCG27	Autism Spectrum Disorder
HCG4	Autism Spectrum Disorder
HCG4B	Autism Spectrum Disorder
HCG9	Autism Spectrum Disorder
HCN1	Autism Spectrum Disorder, Epilepsy, Intellectual Disability
HCP5	Autism Spectrum Disorder
HCRT	Narcolepsy
HCRTR1	Narcolepsy
HCRTR2	Narcolepsy
HDAC2	Glioma
HDAC4	Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, Glioma
HDAC9	Alzheimer's Disease, Epilepsy, Stroke
HEATR3	Epilepsy, Glioma
HECW1	Alzheimer's Disease
HELLPAR	Restless legs Syndrome
HEPN1	Alzheimer's Disease
HERC2	Alzheimer's Disease
HESX1	Alzheimer's Disease
HEXA	Tay-Sachs Disease
HEY2	Alzheimer's Disease
HFE	Autism Spectrum Disorder
HFN	Glioma
HHEX	Multiple Sclerosis
HHIP	Glioma
HID1	Alzheimer's Disease
HIF1A-AS2	Glioma
HIF1A	Glioma
HIF-2	Glioma
HIF-2α	Glioma
HIFs	Glioma
HINT1	Autism Spectrum Disorder
HIP1	Huntington's Disease
HIP1R	Parkinson's Disease
HIRIP3	Autism Spectrum Disorder
HJURP	Glioma
HK1	Charcot-Marie-Tooth Disease
HLA-A	Autism Spectrum Disorder
HLA-AS1	Multiple Sclerosis
HLA-B	Autism Spectrum Disorder, Multiple Sclerosis
HLA-C	Autism Spectrum Disorder
HLA-DMA	Autism Spectrum Disorder, Cerebral Palsy
HLA-DMB	Autism Spectrum Disorder
HLA-DOA	Autism Spectrum Disorder
HLA-DOB	Autism Spectrum Disorder
HLA-DPA1	Alzheimer's Disease, Autism Spectrum Disorder
HLA-DPB1	Autism Spectrum Disorder
HLA-DPB2	Autism Spectrum Disorder
HLA-DQA1	Autism Spectrum Disorder, Multiple Sclerosis, Narcolepsy, Neuroblastoma, Parkinson's Disease
HLA-DQA2	Alzheimer's Disease, Autism Spectrum Disorder, Multiple Sclerosis, Narcolepsy
HLA-DQB1	Autism Spectrum Disorder, Multiple Sclerosis, Narcolepsy, Parkinson's Disease
HLA-DQB2	Autism Spectrum Disorder
HLA-DRA	Alzheimer's Disease, Autism Spectrum Disorder, Multiple Sclerosis, Parkinson's Disease
HLA-DRB1	Alzheimer's Disease, Autism Spectrum Disorder, Multiple Sclerosis, Narcolepsy, Neuroblastoma, Parkinson's Disease
HLA-DRB5	Alzheimer's Disease, Autism Spectrum Disorder, Multiple Sclerosis, Parkinson's Disease
HLA-DRB6	Autism Spectrum Disorder, Parkinson's Disease
HLA-DRB9	Autism Spectrum Disorder
HLA-DRB	Multiple Sclerosis
HLA-E	Autism Spectrum Disorder
HLA-F-AS1	Autism Spectrum Disorder
HLA-F	Autism Spectrum Disorder
HLA-G	Autism Spectrum Disorder
HLA-J	Autism Spectrum Disorder
HLA-L	Autism Spectrum Disorder
HLA	Multiple Sclerosis, Parkinson's Disease
HLA-Z	Autism Spectrum Disorder
HLCS	Intracranial Aneurysm
HLTF	Autism Spectrum Disorder
HMGA1	Glioma
HMGCL	Coma
HMGI	Neuroblastoma
HMGN4	Autism Spectrum Disorder
HNF1A-AS1	Stroke
HNF1B	Autism Spectrum Disorder
HNF4A	Glioma
HNF4G	Alzheimer's Disease
HnRNPA1	Glioma
HNRNPL	Cerebral Palsy
HNRNPM	Glioma
HNRNPU	Epilepsy
HORMAD1	Multiple Sclerosis
HOTAIR	Glioma, Ischemic Stroke, Parkinson's Disease, Pituitary Adenoma, Pituitary Neoplasms
HOTAIRM1	Glioma
HOTTIP	Glioma
HOXA11-AS	Glioma
HOXA1	Autism Spectrum Disorder, Multiple Sclerosis
HOXA3	Alzheimer's Disease
HOXA-AS2	Alzheimer's Disease
HOXA-AS3	Glioma
HOXB1	Autism Spectrum Disorder
HOXB-AS1	Restless legs Syndrome
HOXD10	Charcot-Marie-Tooth Disease
HOXD	Glioma
HP1BP3	Autism Spectrum Disorder
HPCA	Dystonia
HPF1	Autism Spectrum Disorder
HPRT1P2	Alzheimer's Disease
HPSE2	Glioma
HRH3	Shy Drager Syndrome
HRK	Alzheimer's Disease
HS1BP3	Essential Tremor
HS3ST1	Alzheimer's Disease
HS6ST1	Alzheimer's Disease
HS6ST3	Autism Spectrum Disorder
hsa-let-7a-1	Glioma
hsa-let-7a-2	Glioma
hsa-let-7a-3	Glioma
hsa-let-7a	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Brain Neoplasms, Glioma
hsa-let-7b	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Cerebral Cavernous Malformation, Epilepsy, Glioma, Neuroblastoma, Neurodegenerative Disease
hsa-let-7c	Cerebral Ischemia, Glioma
hsa-let-7d	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Epilepsy, Glioma
hsa-let-7f	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Cerebral Ischemia, Glioma
hsa-let-7g-5p	Glioma
hsa-let-7g	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, Glioma, Schizophrenia
hsa-let-7	Glioma, Neuroblastoma, Schizophrenia
hsa-let-7i	Acute Ischemic Stroke, Amyotrophic Lateral Sclerosis, Cerebral Malaria, Glioma
hsa-mir-100	Alzheimer's Disease, Glioma
hsa-mir-101-1	Alzheimer's Disease, Glioma
hsa-mir-101-2	Glioma
hsa-mir-101	Alzheimer's Disease, Glioma
hsa-mir-103-1	Alzheimer's Disease, Bipolar Disorder, Schizophrenia
hsa-mir-103-1-as	Schizophrenia
hsa-mir-103-2	Alzheimer's Disease, Schizophrenia
hsa-mir-103-2-as	Schizophrenia
hsa-mir-103a	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder
hsa-mir-103	Alzheimer's Disease, Glioma
hsa-mir-105	Amyotrophic Lateral Sclerosis, Glioma
hsa-mir-106a-5p	Glioma
hsa-mir-106a	Autism Spectrum Disorder, Glioma, Neuroblastoma
hsa-mir-106b	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, Brain Neoplasms, Epilepsy, Glioma, Neuroblastoma, Schizophrenia
hsa-mir-107	Alzheimer's Disease, Glioma, Meningioma
hsa-mir-107_st	Glioma
hsa-mir-10a	Alzheimer's Disease, Glioma, Neuroblastoma
hsa-mir-10b	Glioma, Huntington's Disease, Neuroblastoma
hsa-mir-112	Alzheimer's Disease
hsa-mir-1202	Depression Disorder, Glioma
hsa-mir-1204	Multiple Sclerosis
hsa-mir-1208	Multiple Sclerosis
hsa-mir-1224	Glioma
hsa-mir-1225	Glioma
hsa-mir-1227	Glioma
hsa-mir-1228	Autism Spectrum Disorder
hsa-mir-122a	Acute Ischemic Stroke, Glioma, Schizophrenia
hsa-mir-1231	Glioma
hsa-mir-1234	Autism Spectrum Disorder
hsa-mir-1236	Autism Spectrum Disorder
hsa-mir-1238	Glioma
hsa-mir-124-3p	Glioma
hsa-mir-1246	Neuroblastoma
hsa-mir-1247	Glioma
hsa-mir-124a-1	Acute Cerebral Infarction, Alzheimer's Disease, Cerebral Ischemia, Glioma, Neuroblastoma
hsa-mir-124a-2	Acute Cerebral Infarction, Alzheimer's Disease, Cerebral Ischemia, Glioma, Neuroblastoma
hsa-mir-124a-3	Acute Cerebral Infarction, Alzheimer's Disease, Glioma, Neuroblastoma
hsa-mir-124a	Amyotrophic Lateral Sclerosis, Glioma
hsa-mir-124	Acute Ischemic Stroke, Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Bipolar Disorder, Cerebrovascular Disease, Depression Disorder, Glioma, Neuroblastoma, Neurodegenerative Disease, Neuronal Apoptosis-Related Disease, Schizophrenia
hsa-mir-125	Acute Ischemic Stroke, Glioma
hsa-mir-125a	Glioma
hsa-mir-125b-1	Alzheimer's Disease, Glioma, Huntington's Disease, Neuroblastoma
hsa-mir-125b-2	Alzheimer's Disease, Glioma, Huntington's Disease
hsa-mir-125b	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Glioma, Meningitis
hsa-mir-1260a	Glioma
hsa-mir-126	Acute Ischemic Stroke, Glioma, Intracerebral Hemorrhage, Schizophrenia, Status Epilepticus
hsa-mir-1271	Glioma
hsa-mir-1275	Alzheimer's Disease, Glioma
hsa-mir-127	Glioma
hsa-mir-1280	Glioma
hsa-mir-1281	Autism Spectrum Disorder
hsa-mir-1284	Autism Spectrum Disorder
hsa-mir-1285	Alzheimer's Disease
hsa-mir-1287	Glioma
hsa-mir-128a	Alzheimer's Disease, Glioma, Neuroblastoma
hsa-mir-128	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Anxiety Disorder, Cerebral Ischemia, Glioma, Huntington's Disease, Mild Cognitive Impairment, Neuroblastoma
hsa-mir-128b	Alzheimer's Disease, Glioma, Neuroblastoma
hsa-mir-129-1	Autism Spectrum Disorder, Brain Neoplasms, Glioma
hsa-mir-129-2	Autism Spectrum Disorder, Brain Neoplasms, Glioma
hsa-mir-1297	Amyotrophic Lateral Sclerosis
hsa-mir-129	Amyotrophic Lateral Sclerosis, Glioma, Neuroblastoma
hsa-mir-1303	Neuroblastoma
hsa-mir-1305	Glioma
hsa-mir-1307	Autism Spectrum Disorder
hsa-mir-130a-3p	Glioma
hsa-mir-130a	Acute Ischemic Stroke, Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, Epilepsy, Glioma, Neuroblastoma
hsa-mir-130b	Amyotrophic Lateral Sclerosis, Glioma, Schizophrenia
hsa-mir-130	Schizophrenia
hsa-mir-132-3p	Frontotemporal Dementia, Progressive Supranuclear Plasy
hsa-mir-132	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Aneurysmal Subarachnoid Hemorrhage, Autism Spectrum Disorder, Bipolar Disorder, Encephalomyelitis, Epilepsy, Glioma, Huntington's Disease, Intracerebral Hemorrhage, Mild Cognitive Impairment, Neuroblastoma, Neurodegenerative Disease, Schizophrenia
hsa-mir-133a	Glioma, Intracranial Aneurysm, Neuroendocrine Tumor
hsa-mir-133b	Glioma, Intracranial Aneurysm
hsa-mir-133	Glioma
hsa-mir-134	Bipolar Disorder, Central Nervous System Embryonal Tumor, Cerebral Ischemia, Epilepsy, Glioma, Mild Cognitive Impairment
hsa-mir-135-1	Autism Spectrum Disorder, Glioma
hsa-mir-135-2	Glioma
hsa-mir-135a	Depression Disorder, Glioma
hsa-mir-135b	Cerebral Ischemia, Glioma
hsa-mir-135	Glioma
hsa-mir-136	Alzheimer's Disease, Amyotrophic Lateral Sclerosis, Glioma
hsa-mir-137	Alzheimer's Disease, Autism Spectrum Disorder, Bipolar Disorder, Glioma, Huntington's Disease, Meningioma, Neuroblastoma, Schizophrenia
